Protocol,Domain,Path,Having_IP,URL_Length,Having_@_symbol,Redirection_//_symbol,Prefix_suffix_separation,Sub_domains,tiny_url,web_traffic,domain_registration_length,dns_record,statistical_report,age_domain,http_tokens,label
https,recoverphrase482.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,docs.google.com,/forms/d/e/1FAIpQLScY_l9nfEdSd_-9gP2u8p0xqi08lIQNny5DZKDyxxVsalw6EA/viewform,0,1,0,0,0,0,0,0,2,0,0,0,0,1
https,kutt.it,/l3LEPh,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,jam-023d.gitlab.io,/hitech-023s/yujtbgfvrtgrfd.html,0,1,1,0,1,1,0,1,1,0,0,1,0,1
https,docsharex-authorize.firebaseapp.com,/common/oauth2/authorize-cli,0,2,0,0,1,0,0,1,1,1,0,1,0,1
http,ighgroup.com,/news/css/,0,0,0,0,0,0,0,2,2,0,0,2,0,1
https,pomocpharma.com,/viseca/clients/478Q7y.php,0,0,0,0,0,0,0,2,2,0,0,2,0,1
https,www.internetservicetech.com,/landingpages/214dde44-d83d-472c-808d-4304cf3e308c/j1CXRRh7-%20A99jCpAZg1U1lChZSks0nYx0ReUkfTnqSc,0,1,0,0,0,0,0,1,1,0,0,0,0,1
https,lnkd.in,/edgsrKG4,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https,recoverphrase480.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,www.myjesoeb.com,/,0,0,0,0,0,0,0,1,1,0,1,0,0,1
https,onlinehelpchase.blogspot.com,/,0,0,0,0,0,0,1,2,1,1,0,1,0,1
http,grubokepviralterbaruind.duckdns.org,/,0,0,0,0,0,0,0,1,1,0,0,1,0,1
https,walletconnectdapps.xyz,/,0,0,0,0,0,0,0,1,2,0,1,2,0,1
https,cutt.ly,/aYW5mEV,0,0,0,0,0,0,0,0,0,0,0,0,0,1
https,gxa1ij.webwave.dev,/,0,0,0,0,0,0,0,2,1,0,0,0,0,1
https,agence-wordpress-bordeaux.com,/wp-includes/certificates/main/web/,0,2,0,0,1,0,1,1,2,0,0,0,0,1
https,clic.ae,/zMJOS9,0,0,0,0,0,0,0,1,1,0,0,1,0,1
https,sfdev.vshcszx.cn,,0,0,0,0,0,0,0,1,1,0,0,0,0,1
http,gasterussskeda.co.vu,/Safety_Information.html,0,0,0,0,0,2,0,0,1,0,0,1,0,1
https,recoverphrase281.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,tinyurl.com,/yckp5u2w,0,0,0,0,0,0,1,0,0,0,0,0,0,1
https,reurl.cc,/6E9zk5,0,0,0,0,0,0,0,0,2,0,0,2,0,1
https,chase-onlinehelp.blogspot.com,/,0,0,0,0,1,0,1,1,1,1,0,1,0,1
https,arahor.com,/index.html,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,webabonnee.blogspot.com,/,0,0,0,0,0,0,1,1,1,1,0,1,0,1
http,itau.24horasprotecao.com,/,0,0,0,0,0,0,0,1,1,0,1,0,0,1
https,vk.com,/away.php,0,1,0,0,0,2,0,0,2,0,0,2,1,1
https,docs.google.com,/forms/d/e/1FAIpQLScQBbSVkPxNasqgeaZPZWXP1lN7QZduRt-NQN4azqA7Q14Euw/viewform,0,1,0,0,0,0,0,0,2,0,0,0,0,1
https,connecti-auonepay-jp.eqydybn.cn,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,mailsystem-upgrade00.on.fleek.co,/,0,0,0,0,1,2,0,0,1,0,0,0,0,1
http,site9423773.92.webydo.com,/,0,0,0,0,0,2,0,2,2,0,0,2,0,1
http,xjmr7.mjt.lu,/lnk/AL4AAIk6nHAAAAAAAAAAAQxahQcAAYDH_Z0AAAAAABUbCABfvNodRPMnK7t6R9aiwFsd6npgSgAU5cw/2/GDaz1m5VZEGY-n1ZY3C0Kw/aHR0cHM6Ly9iaXQubHkvM280Nzh1VA,0,1,0,0,0,0,0,0,1,0,0,1,0,1
https,recoverphrase462.web.app,/,0,0,0,0,0,0,0,1,1,0,0,0,0,1
https,www.1111365.net,/,0,0,0,0,0,0,0,1,2,0,0,2,0,1
https,claims-funds-enczj.run-us-west2.goorm.io,/,0,2,0,0,1,2,0,0,1,0,0,0,0,1
https,barcainferbark.gobb-1nfo.com,/,0,0,0,0,1,0,0,1,1,0,0,0,0,1
https,storage.googleapis.com,/onlinebdo/redirect.html,0,2,0,0,0,2,0,0,1,1,0,1,0,1
https,reviewpasswords34.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,ikpumariana18.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
http,m42club.com,/forum/Packages/,0,0,0,0,0,0,0,2,2,0,0,2,0,1
https,recoverphrase264.firebaseapp.com,/,0,0,0,0,0,0,0,1,1,1,0,1,0,1
https,lolosamarte.blogspot.com,/,0,0,0,0,0,0,1,1,1,1,0,1,0,1
